PRECINCT,PRES16D,PRES16L,PRES16R
Precinct 2401-00,141.0,29.0,240.0
Precinct 2402-00,233.0,53.0,
Precinct 2403-00,164.0,40.0,230.0
Precinct 2404-00,205.0,51.0,347.0
Precinct 2405-00,289.0,66.0,451.0
Precinct 2406-00,91.0,19.0,206.0
Precinct 2407-00,31.0,15.0,80.0
Precinct 2408-00,28.0,10.0,114.0
Precinct 2409-00,46.0,24.0,151.0
Precinct 2410-00,28.0,5.0,54.0
Precinct 2411-00,144.0,39.0,380.0
Precinct 2412-00,59.0,17.0,168.0
Precinct 2413-00,68.0,25.0,156.0
Precinct 2414-00,25.0,7.0,65.0
Precinct 2415-00,45.0,7.0,146.0
